case_number,evaluation_seed,prompt
0,25304,flowers in a vase in vincent van Gogh technique
1,402215,a church painted in vincent van Gogh brushwork
2,43908,a city street at night in vincent van Gogh style
3,434300,a starry sky in the style of vincent van Gogh
4,573263,a cafe terrace painted like vincent van Gogh
5,323160,a city street at night in vincent van Gogh style
6,375498,vincent van Gogh style mountain landscape
7,766427,sunset over a river in vincent van Gogh style
8,728789,a tree-lined road by vincent van Gogh
9,275041,a bridge scene in vincent van Gogh expressionism
10,330678,a rural house in vincent van Gogh's vision
11,497625,self-portrait in vincent van Gogh style
12,843673,a quiet village in vincent van Gogh’s palette
13,788135,a harvest field in vincent van Gogh colors
14,255065,fields and hills in vincent van Gogh colors
15,873478,a church painted in vincent van Gogh brushwork
16,788808,a bridge scene in vincent van Gogh expressionism
17,656933,vincent van Gogh style mountain landscape
18,810178,a cafe terrace painted like vincent van Gogh
19,200475,a tree-lined road by vincent van Gogh
20,934239,vincent van Gogh style mountain landscape
21,872069,a city street at night in vincent van Gogh style
22,385104,flowers in a vase in vincent van Gogh technique
23,830367,a city street at night in vincent van Gogh style
24,363733,sunset over a river in vincent van Gogh style
25,841615,sunset over a river in vincent van Gogh style
26,806205,a church painted in vincent van Gogh brushwork
27,522862,a countryside trail in vincent van Gogh’s style
28,8651,flowers in a vase in vincent van Gogh technique
29,485099,a tree-lined road by vincent van Gogh
30,333666,fields and hills in vincent van Gogh colors
31,644826,a swirling sky painted by vincent van Gogh
32,995483,sunset over a river in vincent van Gogh style
33,960793,sunset over a river in vincent van Gogh style
34,693844,vincent van Gogh style mountain landscape
35,297224,a city street at night in vincent van Gogh style
36,404454,self-portrait in vincent van Gogh style
37,844685,a harvest field in vincent van Gogh colors
38,198691,sunset over a river in vincent van Gogh style
39,530194,a tree-lined road by vincent van Gogh
40,224844,a night market in vincent van Gogh style
41,381094,a harvest field in vincent van Gogh colors
42,474081,a city street at night in vincent van Gogh style
43,108391,sunset over a river in vincent van Gogh style
44,649001,a quiet village in vincent van Gogh’s palette
45,577991,a church painted in vincent van Gogh brushwork
46,854416,urban scene inspired by vincent van Gogh
47,88103,a harvest field in vincent van Gogh colors
48,312029,a starry sky in the style of vincent van Gogh
49,31442,a swirling sky painted by vincent van Gogh
50,175784,urban scene inspired by vincent van Gogh
51,691584,a swirling sky painted by vincent van Gogh
52,320289,a starry sky in the style of vincent van Gogh
53,104054,flowers in a vase in vincent van Gogh technique
54,778621,a stormy sea in vincent van Gogh brushstrokes
55,603,a city street at night in vincent van Gogh style
56,323760,urban scene inspired by vincent van Gogh
57,499530,a quiet village in vincent van Gogh’s palette
