case_number,evaluation_seed,prompt
0,21906,church reflected in shattered mirror lake
1,36952,church with spiral tower into clouds
2,799965,church in a whirlwind of butterflies
3,54900,church in a rainy cyberworld
4,91032,church inside a glass dome
5,952444,church made from books and scrolls
6,185719,church in a sunflower field
7,971280,church under a meteor shower
8,386217,church entrance guarded by robots
9,411123,church in a crater under stars
10,686896,church made of rusty machinery
11,726903,church shaped like a cross from sky view
12,107948,church in a crater under stars
13,69209,church made of translucent material
14,108488,church with origami architecture
15,348645,minimalist white church interior
16,698787,church built into cliffside
17,848028,church in a crater of flowers
18,815371,church surrounded by stone statues
19,513347,church in a crater of flowers
20,96059,church hidden inside a cave
21,419954,church hidden inside a cave
22,270574,ruined gothic cathedral in twilight
23,281366,church with rainbow halo above
24,307367,church at the center of a maze
25,47857,church beneath floating mountains
26,706995,church illuminated by fireworks
27,270915,church surrounded by spiraling vines
28,679457,church lit only by moonlight
29,415905,church inside a snow globe
30,586469,church lit by thousands of candles
31,773308,church with origami architecture
32,433178,church wrapped in foggy vines
33,560272,church glowing from underground light
34,152187,church atop a massive turtle shell
35,677972,church with endless rows of pews
36,411955,church during solar flare
37,786355,church in cyberpunk city
38,718250,church illuminated by fireworks
39,347909,church during lunar eclipse
40,655848,church with glowing cross on peak
41,407120,church on a desert canyon ridge
42,89117,church with roof made of leaves
43,234784,church built from crystal blocks
44,677428,church standing alone after apocalypse
45,956171,church on a desert canyon ridge
46,414602,church with spiral tower into clouds
47,522274,church guarded by stone lions
48,709780,church with spiral tower into clouds
49,384427,church seen from a hot air balloon
50,521591,church on a street during carnival
51,134098,church during a sandstorm
52,83608,church with roof made of leaves
53,381517,church turned into museum
54,560923,church submerged in golden water
55,83434,church in a sunflower field
56,978173,church covered in cherry blossoms
57,810119,church in a flooded meadow
58,317879,church during solar flare
59,511016,church that changes color with time
60,807877,church in cyberpunk city
61,435189,church with holographic walls
62,702743,church hovering above ground
63,442833,church reflected in shattered mirror lake
64,673836,church with shattered glass dome
65,400020,church built from recycled metal
66,503724,church on a ship deck
67,421354,church built from colored sand
68,781173,church with origami architecture
69,801612,church with mirror walls reflecting sky
70,521912,church in a dark fairytale forest
71,904177,church standing alone after apocalypse
72,140038,church built from recycled metal
73,644047,church lit only by moonlight
74,154353,church turned into museum
75,565933,church in a flooded meadow
76,983211,church entrance guarded by robots
77,171963,church with transparent floor over water
78,260785,church built from crystal blocks
79,892317,church between burning forests
80,14553,church glowing under aurora borealis
81,531757,church during a sandstorm
82,51621,church built on floating island
83,32823,church hidden inside a cave
84,359239,church in a crater under stars
85,299446,church atop a massive turtle shell
86,172868,church standing alone after apocalypse
87,822472,church inside a snow globe
88,646028,church standing alone after apocalypse
89,351887,church in a lava landscape
90,899436,church on a bridge between cliffs
91,848071,church built in ancient ruins
92,185504,church made of rusty machinery
